2026-08-04 12:53:45.280  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:53:46.333  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:53:47.376  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:53:48.419  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:53:49.485  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:53:50.535  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:53:52.633  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:53:53.678  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:53:54.728  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:53:55.791  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:53:56.867  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:53:57.908  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:53:58.956  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:00.025  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:01.079  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:03.213  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:04.270  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:05.316  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:06.384  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:07.453  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:08.519  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:09.564  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:10.616  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:11.676  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:13.800  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:14.844  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:15.899  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:16.942  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:17.995  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:19.064  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:20.118  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:21.178  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:22.230  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:24.355  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:25.407  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:26.462  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:27.508  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:28.561  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:29.612  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:30.659  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:31.706  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:32.749  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:33.814  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠂ Check mac; 0x1000012=Probe Basic; 
2026-08-04 12:54:35.925  | card1-HDMI-A-1=connected,On card1-HDMI-A-2=disconnected,On |aud:closed |act:0x2000003 |win:0xc00003=xfce4-panel; 0xe0002c=Desktop; 0x2000003=Terminal - ⠐ Check mac; 0x1000012=Probe Basic; 
