t,fe0,fe3,x,y,z,b,vel,spindle_on,spindle_rpm
55.216,-0.005000,0.004400,-3729.3650,-1226.5720,-159.2502,50955.006,0.6350,1,5675
55.417,-0.005000,0.004400,-3729.3650,-1226.4480,-159.2502,50964.270,0.6350,1,5675
55.618,-0.005000,0.004400,-3729.3650,-1226.3200,-159.2489,50974.017,0.6350,1,5675
55.819,-0.005000,0.004400,-3729.3650,-1226.1960,-159.2477,50983.517,0.6350,1,5675
56.019,-0.005000,0.004400,-3729.3650,-1226.0680,-159.2489,50993.406,0.6350,1,5675
56.220,-0.005000,0.004400,-3729.3650,-1225.9320,-159.2477,51003.198,0.6350,1,5675
56.421,-0.005000,0.004400,-3729.3650,-1225.8080,-159.2477,51012.701,0.6350,1,5675
56.622,-0.005000,0.004400,-3729.3650,-1225.6760,-159.2477,51022.446,0.6350,1,5675
56.823,-0.005000,0.004400,-3729.3650,-1225.5480,-159.2477,51031.806,0.6350,1,5675
57.023,-0.005000,-0.000600,-3729.3650,-1225.4200,-159.2477,51041.598,0.6350,1,5675
57.224,-0.005000,0.004400,-3729.3650,-1225.2920,-159.2489,51051.437,0.6350,1,5675
57.425,-0.005000,0.004400,-3729.3650,-1225.1680,-159.2489,51061.085,0.6350,1,5675
57.625,-0.005000,0.004400,-3729.3650,-1225.0480,-159.2489,51070.496,0.6350,1,5675
57.826,-0.005000,0.004400,-3729.3650,-1224.9160,-159.2489,51080.238,0.6350,1,5675
58.026,-0.005000,0.004400,-3729.3650,-1224.7960,-159.2477,51089.503,0.6350,1,5675
58.227,-0.005000,0.004400,-3729.3650,-1224.6680,-159.2477,51099.199,0.6350,1,5675
58.427,-0.005000,0.004400,-3729.3650,-1224.5360,-159.2489,51108.992,0.6350,1,5675
58.628,-0.005000,0.004400,-3729.3650,-1224.4080,-159.2489,51118.733,0.6350,1,5675
58.828,-0.005000,0.004400,-3729.3650,-1224.2800,-159.2515,51128.429,0.6350,1,5675
59.029,-0.005000,0.004400,-3729.3650,-1224.1600,-159.2528,51137.742,0.6350,1,5675
59.229,-0.005000,0.004400,-3729.3650,-1224.0200,-159.2540,51147.629,0.6350,1,5675
59.430,-0.005000,-0.000600,-3729.3650,-1223.8880,-159.2540,51157.325,0.6350,1,5675
59.630,-0.005000,-0.000600,-3729.3650,-1223.7640,-159.2540,51166.638,0.6350,1,5675
59.831,-0.010000,-0.005600,-3729.3600,-1223.6360,-159.2502,51176.334,0.6350,1,5675
60.031,-0.005000,-0.005600,-3729.3650,-1223.5080,-159.2502,51186.126,0.6350,1,5675
60.232,-0.005000,-0.000600,-3729.3650,-1223.3880,-159.2528,51195.390,0.6350,1,5675
60.434,-0.005000,-0.000600,-3729.3650,-1223.2600,-159.2540,51205.184,0.6350,1,5675
60.637,-0.005000,-0.005600,-3729.3650,-1223.1360,-159.2540,51214.878,0.6350,1,5675
60.837,-0.005000,-0.005600,-3729.3650,-1223.0040,-159.2540,51224.669,0.6350,1,5675
61.037,-0.010000,-0.005600,-3729.3600,-1222.8760,-159.2540,51234.318,0.6350,1,5675
61.238,-0.005000,-0.005600,-3729.3650,-1222.7480,-159.2553,51243.677,0.6350,1,5675
61.438,-0.005000,-0.000600,-3729.3650,-1222.6160,-159.2578,51253.422,0.6350,1,5675
61.639,-0.005000,-0.000600,-3729.3650,-1222.4880,-159.2578,51263.117,0.6350,1,5675
61.839,-0.005000,-0.000600,-3729.3650,-1222.3600,-159.2578,51272.860,0.6350,1,5675
62.040,-0.005000,-0.000600,-3729.3650,-1222.2320,-159.2540,51282.557,0.6350,1,5675
62.241,-0.005000,-0.005600,-3729.3650,-1222.1080,-159.2528,51291.773,0.6350,1,5675
62.441,-0.005000,-0.000600,-3729.3650,-1221.9840,-159.2515,51301.518,0.6350,1,5675
62.642,-0.005000,0.004400,-3729.3650,-1221.8560,-159.2515,51311.214,0.6350,1,5675
62.843,-0.005000,0.004400,-3729.3650,-1221.7280,-159.2515,51321.006,0.6350,1,5675
63.043,-0.005000,-0.000600,-3729.3650,-1221.6000,-159.2489,51330.702,0.6350,1,5675
63.244,-0.010000,-0.000600,-3729.3600,-1221.4800,-159.2477,51339.917,0.6350,1,5675
63.445,-0.005000,-0.000600,-3729.3650,-1221.3480,-159.2489,51349.805,0.6350,1,5675
63.645,-0.005000,-0.000600,-3729.3650,-1221.2160,-159.2489,51359.597,0.6350,1,5675
63.846,0.000000,-0.000600,-3729.3700,-1221.0960,-159.2502,51368.861,0.6350,1,5675
64.047,0.000000,-0.000600,-3729.3700,-1220.9640,-159.2515,51378.651,0.6350,1,5675
64.248,0.000000,-0.000600,-3729.3700,-1220.8320,-159.2515,51388.445,0.6350,1,5675
64.449,0.000000,-0.005600,-3729.3700,-1220.7000,-159.2515,51398.239,0.6350,1,5675
64.650,0.000000,-0.005600,-3729.3700,-1220.5800,-159.2515,51407.453,0.6350,1,5675
64.850,0.000000,-0.005600,-3729.3700,-1220.4480,-159.2515,51417.438,0.6350,1,5675
65.051,0.000000,-0.005600,-3729.3700,-1220.3280,-159.2515,51426.799,0.6350,1,5675
65.253,0.005000,-0.005600,-3729.3750,-1220.2000,-159.2528,51436.541,0.6350,1,5675
65.453,0.005000,-0.005600,-3729.3750,-1220.0680,-159.2528,51446.288,0.6350,1,5675
65.654,0.005000,-0.005600,-3729.3750,-1219.9360,-159.2528,51456.076,0.6350,1,5675
65.854,0.005000,-0.005600,-3729.3750,-1219.8120,-159.2515,51465.294,0.6350,1,5675
66.055,0.000000,-0.005600,-3729.3700,-1219.6840,-159.2515,51475.086,0.6350,1,5675
66.255,0.005000,-0.000600,-3729.3750,-1219.5560,-159.2528,51484.832,0.6350,1,5675
66.456,0.005000,-0.000600,-3729.3750,-1219.4280,-159.2528,51494.429,0.6350,1,5675
66.656,0.005000,-0.000600,-3729.3750,-1219.3000,-159.2540,51504.125,0.6350,1,5675
66.857,0.005000,-0.005600,-3729.3750,-1219.1800,-159.2528,51513.343,0.6350,1,5675
67.057,0.005000,-0.005600,-3729.3750,-1219.0520,-159.2528,51523.085,0.6350,1,5675
67.257,-0.005000,-0.005600,-3729.3650,-1218.9200,-159.2477,51532.829,0.6350,1,5675
67.458,-0.005000,-0.005600,-3729.3650,-1218.7960,-159.2489,51542.526,0.6350,1,5675
67.659,-0.005000,-0.005600,-3729.3650,-1218.6720,-159.2489,51551.884,0.6350,1,5675
67.859,0.000000,-0.000600,-3729.3700,-1218.5440,-159.2515,51561.726,0.6350,1,5675
68.059,-0.005000,-0.005600,-3729.3650,-1218.4160,-159.2502,51571.516,0.6350,1,5675
68.260,-0.005000,-0.005600,-3729.3650,-1218.2960,-159.2502,51580.734,0.6350,1,5675
68.460,0.000000,-0.000600,-3729.3700,-1218.1680,-159.2515,51590.526,0.6350,1,5675
68.661,0.000000,-0.000600,-3729.3700,-1218.0400,-159.2515,51600.271,0.6350,1,5675
68.861,0.000000,-0.000600,-3729.3700,-1217.9120,-159.2515,51609.773,0.6350,1,5675
69.061,0.000000,-0.000600,-3729.3700,-1217.7840,-159.2515,51619.517,0.6350,1,5675
69.262,0.000000,-0.000600,-3729.3700,-1217.6560,-159.2515,51629.260,0.6350,1,5675
69.462,0.000000,-0.000600,-3729.3700,-1217.5320,-159.2515,51638.477,0.6350,1,5675
69.663,0.000000,-0.000600,-3729.3700,-1217.4080,-159.2502,51648.223,0.6350,1,5675
69.863,0.000000,-0.000600,-3729.3700,-1217.2760,-159.2502,51658.060,0.6350,1,5675
70.064,0.005000,-0.000600,-3729.3750,-1217.1480,-159.2502,51667.325,0.6350,1,5675
70.264,0.005000,-0.000600,-3729.3750,-1217.0200,-159.2515,51677.165,0.6350,1,5675
70.464,0.005000,-0.000600,-3729.3750,-1216.8960,-159.2502,51686.525,0.6350,1,5675
70.665,0.005000,-0.000600,-3729.3750,-1216.7640,-159.2502,51696.173,0.6350,1,5675
70.865,0.005000,0.004400,-3729.3750,-1216.6400,-159.2515,51705.917,0.6350,1,5675
71.066,0.005000,0.004400,-3729.3750,-1216.5080,-159.2515,51715.710,0.6350,1,5675
71.267,0.005000,0.004400,-3729.3750,-1216.3760,-159.2515,51725.406,0.6350,1,5675
71.467,0.005000,0.004400,-3729.3750,-1216.2440,-159.2528,51735.101,0.6350,1,5675
71.668,0.005000,0.004400,-3729.3750,-1216.1240,-159.2528,51744.317,0.6350,1,5675
71.868,0.005000,-0.000600,-3729.3750,-1216.0000,-159.2528,51754.014,0.6350,1,5675
72.069,0.005000,-0.000600,-3729.3750,-1215.8720,-159.2528,51763.710,0.6350,1,5675
72.269,0.005000,-0.000600,-3729.3750,-1215.7520,-159.2528,51773.020,0.6350,1,5675
72.470,0.005000,-0.000600,-3729.3750,-1215.6240,-159.2528,51782.860,0.6350,1,5675
72.671,0.005000,-0.000600,-3729.3750,-1215.4920,-159.2528,51792.702,0.6350,1,5675
72.871,0.005000,0.004400,-3729.3750,-1215.3640,-159.2540,51802.447,0.6350,1,5675
73.072,0.005000,0.004400,-3729.3750,-1215.2320,-159.2540,51811.710,0.6350,1,5675
73.273,0.000000,0.004400,-3729.3700,-1215.1000,-159.2540,51821.645,0.6350,1,5675
73.474,0.000000,0.004400,-3729.3700,-1214.9720,-159.2553,51831.389,0.6350,1,5675
73.675,0.000000,0.004400,-3729.3700,-1214.8480,-159.2553,51840.750,0.6350,1,5675
73.875,0.000000,0.004400,-3729.3700,-1214.7200,-159.2553,51850.493,0.6350,1,5675
74.076,0.000000,0.004400,-3729.3700,-1214.5920,-159.2566,51860.237,0.6350,1,5675
74.276,0.005000,0.004400,-3729.3750,-1214.4680,-159.2578,51869.645,0.6350,1,5675
74.477,0.000000,-0.000600,-3729.3700,-1214.3400,-159.2578,51879.436,0.6350,1,5675
74.678,-0.005000,-0.005600,-3729.3650,-1214.2080,-159.2540,51889.135,0.6350,1,5675
74.879,-0.005000,-0.005600,-3729.3650,-1214.0800,-159.2489,51898.877,0.6350,1,5675
75.079,-0.005000,-0.000600,-3729.3650,-1213.9680,-159.2489,51907.566,0.6350,1,5675
75.279,-0.005000,-0.000600,-3729.3650,-1213.8400,-159.2489,51917.741,0.6350,1,5675
75.480,-0.005000,-0.000600,-3729.3650,-1213.7080,-159.2489,51927.486,0.6350,1,5675
75.680,-0.005000,0.004400,-3729.3650,-1213.5800,-159.2489,51937.182,0.6350,1,5675
75.881,-0.005000,0.004400,-3729.3650,-1213.4520,-159.2489,51946.926,0.6350,1,5675
76.082,-0.010000,0.004400,-3729.3600,-1213.3200,-159.2489,51956.621,0.6350,1,5675
76.283,-0.005000,0.004400,-3729.3650,-1213.2000,-159.2489,51965.837,0.6350,1,5675
76.484,-0.005000,0.004400,-3729.3650,-1213.0720,-159.2489,51975.581,0.6350,1,5675
76.685,-0.005000,0.004400,-3729.3650,-1212.9440,-159.2489,51985.469,0.6350,1,5675
76.885,-0.005000,0.004400,-3729.3650,-1212.8200,-159.2502,51994.734,0.6350,1,5675
77.086,-0.005000,-0.000600,-3729.3650,-1212.6880,-159.2489,52004.525,0.6350,1,5675
77.286,-0.005000,-0.000600,-3729.3650,-1212.5600,-159.2489,52014.367,0.6350,1,5675
77.487,-0.005000,-0.000600,-3729.3650,-1212.4400,-159.2502,52023.581,0.6350,1,5675
77.688,0.000000,-0.000600,-3729.3700,-1212.3120,-159.2502,52033.373,0.6350,1,5675
77.891,0.000000,-0.000600,-3729.3700,-1212.1840,-159.2515,52043.118,0.6350,1,5675
78.092,0.000000,-0.000600,-3729.3700,-1212.0520,-159.2528,52052.862,0.6350,1,5675
78.293,0.000000,0.004400,-3729.3700,-1211.9200,-159.2515,52062.750,0.6350,1,5675
78.493,0.000000,0.004400,-3729.3700,-1211.7920,-159.2515,52072.349,0.6350,1,5675
78.695,-0.005000,0.004400,-3729.3650,-1211.6680,-159.2515,52081.757,0.6350,1,5675
78.897,-0.005000,0.004400,-3729.3650,-1211.5360,-159.2515,52091.742,0.6350,1,5675
79.098,-0.005000,0.004400,-3729.3650,-1211.4120,-159.2528,52101.054,0.6350,1,5675
79.300,-0.005000,-0.000600,-3729.3650,-1211.2840,-159.2515,52110.846,0.6350,1,5675
79.500,-0.005000,-0.000600,-3729.3650,-1211.1560,-159.2528,52120.351,0.6350,1,5675
79.703,-0.005000,-0.005600,-3729.3650,-1211.0280,-159.2528,52130.142,0.6350,1,5675
79.904,-0.005000,-0.000600,-3729.3650,-1210.9000,-159.2515,52140.029,0.6350,1,5675
80.104,-0.005000,-0.000600,-3729.3650,-1210.7760,-159.2515,52149.340,0.6350,1,5675
80.305,0.000000,0.004400,-3729.3700,-1210.6440,-159.2528,52159.086,0.6350,1,5675
80.508,-0.005000,0.004400,-3729.3650,-1210.5080,-159.2528,52169.021,0.6350,1,5675
80.709,-0.005000,0.004400,-3729.3650,-1210.3800,-159.2515,52178.334,0.6350,1,5675
80.911,-0.005000,0.004400,-3729.3650,-1210.2520,-159.2515,52188.125,0.6350,1,5675
81.112,-0.005000,0.004400,-3729.3650,-1210.1280,-159.2502,52197.870,0.6350,1,5675
81.312,-0.005000,0.004400,-3729.3650,-1210.0000,-159.2502,52207.567,0.6350,1,5675
81.513,-0.005000,0.004400,-3729.3650,-1209.8760,-159.2502,52216.830,0.6350,1,5675
81.713,-0.005000,0.004400,-3729.3650,-1209.7440,-159.2489,52226.715,0.6350,1,5675
81.913,-0.005000,0.004400,-3729.3650,-1209.6160,-159.2489,52236.414,0.6350,1,5675
82.116,-0.010000,-0.000600,-3729.3600,-1209.4840,-159.2477,52246.109,0.6350,1,5675
82.318,-0.005000,-0.005600,-3729.3650,-1209.3560,-159.2477,52255.901,0.6350,1,5675
82.519,-0.005000,-0.005600,-3729.3650,-1209.2360,-159.2489,52265.118,0.6350,1,5675
82.719,-0.005000,-0.000600,-3729.3650,-1209.1120,-159.2489,52274.862,0.6350,1,5675
82.920,0.000000,-0.000600,-3729.3700,-1208.9840,-159.2502,52284.653,0.6350,1,5675
83.120,0.000000,0.004400,-3729.3700,-1208.8560,-159.2502,52294.350,0.6350,1,5675
83.321,-0.005000,-0.000600,-3729.3650,-1208.7320,-159.2489,52303.711,0.6350,1,5675
83.522,-0.005000,0.004400,-3729.3650,-1208.6000,-159.2489,52313.454,0.6350,1,5675
83.722,0.000000,0.004400,-3729.3700,-1208.4720,-159.2502,52323.198,0.6350,1,5675
83.923,-0.005000,0.004400,-3729.3650,-1208.3480,-159.2502,52332.606,0.6350,1,5675
84.123,-0.005000,0.009400,-3729.3650,-1208.2200,-159.2515,52342.350,0.6350,1,5675
84.324,-0.005000,0.004400,-3729.3650,-1208.0960,-159.2515,52351.759,0.6350,1,5675
84.524,0.000000,0.004400,-3729.3700,-1207.9680,-159.2528,52361.549,0.6350,1,5675
84.724,0.000000,-0.000600,-3729.3700,-1207.8400,-159.2528,52371.245,0.6350,1,5675
84.925,0.000000,-0.000600,-3729.3700,-1207.7120,-159.2528,52380.990,0.6350,1,5675
85.125,0.000000,-0.000600,-3729.3700,-1207.5880,-159.2528,52390.255,0.6350,1,5675
85.326,0.005000,-0.000600,-3729.3750,-1207.4600,-159.2540,52399.949,0.6350,1,5675
85.526,0.005000,-0.000600,-3729.3750,-1207.3280,-159.2553,52409.887,0.6350,1,5675
85.727,0.005000,-0.000600,-3729.3750,-1207.2040,-159.2566,52419.102,0.6350,1,5675
85.932,0.005000,-0.000600,-3729.3750,-1207.0680,-159.2553,52429.329,0.6350,1,5675
86.133,0.005000,-0.000600,-3729.3750,-1206.9400,-159.2553,52438.973,0.6350,1,5675
86.334,0.005000,-0.000600,-3729.3750,-1206.8120,-159.2566,52448.671,0.6350,1,5675
86.535,0.005000,-0.000600,-3729.3750,-1206.6920,-159.2553,52457.934,0.6350,1,5675
86.736,0.005000,-0.000600,-3729.3750,-1206.5680,-159.2553,52467.392,0.6350,1,5675
86.936,0.005000,-0.000600,-3729.3750,-1206.4360,-159.2553,52477.276,0.6350,1,5675
87.138,0.005000,-0.000600,-3729.3750,-1206.3040,-159.2553,52486.973,0.6350,1,5675
87.339,0.005000,0.004400,-3729.3750,-1206.1760,-159.2553,52496.717,0.6350,1,5675
87.540,0.005000,0.004400,-3729.3750,-1206.0400,-159.2540,52506.462,0.6350,1,5675
87.740,0.005000,0.004400,-3729.3750,-1205.9120,-159.2553,52516.205,0.6350,1,5675
87.940,0.005000,0.004400,-3729.3750,-1205.7880,-159.2566,52525.661,0.6350,1,5675
88.141,0.005000,0.004400,-3729.3750,-1205.6640,-159.2566,52535.070,0.6350,1,5675
88.342,0.000000,0.004400,-3729.3700,-1205.5360,-159.2566,52544.813,0.6350,1,5675
88.543,0.005000,0.004400,-3729.3750,-1205.4120,-159.2566,52554.557,0.6350,1,5675
88.744,0.000000,-0.000600,-3729.3700,-1205.2800,-159.2553,52564.350,0.6350,1,5675
88.944,0.005000,-0.000600,-3729.3750,-1205.1640,-159.2566,52573.613,0.6350,1,5675
89.147,0.005000,-0.000600,-3729.3750,-1205.0320,-159.2578,52583.358,0.6350,1,5675
89.348,0.005000,-0.000600,-3729.3750,-1204.9040,-159.2578,52593.103,0.6350,1,5675
89.548,0.005000,-0.000600,-3729.3750,-1204.7760,-159.2578,52602.895,0.6350,1,5675
89.749,0.000000,-0.005600,-3729.3700,-1204.6520,-159.2566,52612.157,0.6350,1,5675
89.949,0.000000,-0.000600,-3729.3700,-1204.5240,-159.2553,52621.951,0.6350,1,5675
90.150,0.000000,0.004400,-3729.3700,-1204.3960,-159.2566,52631.694,0.6350,1,5675
90.353,0.005000,0.009400,-3729.3750,-1204.2600,-159.2578,52641.488,0.6350,1,5675
90.553,0.000000,0.004400,-3729.3700,-1204.1240,-159.2578,52651.229,0.6350,1,5675
90.754,0.000000,-0.000600,-3729.3700,-1204.0040,-159.2566,52660.492,0.6350,1,5675
90.954,0.000000,-0.000600,-3729.3700,-1203.8760,-159.2566,52670.189,0.6350,1,5675
91.155,0.005000,-0.000600,-3729.3750,-1203.7560,-159.2578,52679.886,0.6350,1,5675
91.355,0.005000,-0.000600,-3729.3750,-1203.6280,-159.2578,52689.582,0.6350,1,5675
91.556,0.000000,-0.000600,-3729.3700,-1203.4960,-159.2578,52699.328,0.6350,1,5675
91.756,0.005000,-0.000600,-3729.3750,-1203.3800,-159.2578,52708.541,0.6350,1,5675
91.957,0.000000,0.004400,-3729.3700,-1203.2440,-159.2578,52718.381,0.6350,1,5675
92.157,0.000000,0.004400,-3729.3700,-1203.1120,-159.2566,52728.078,0.6350,1,5675
92.358,0.000000,0.004400,-3729.3700,-1202.9800,-159.2566,52737.869,0.6350,1,5675
92.559,0.000000,0.004400,-3729.3700,-1202.8600,-159.2566,52747.134,0.6350,1,5675
92.759,0.000000,0.004400,-3729.3700,-1202.7320,-159.2566,52756.735,0.6350,1,5675
92.960,0.000000,-0.000600,-3729.3700,-1202.6000,-159.2566,52766.621,0.6350,1,5675
93.160,0.000000,-0.000600,-3729.3700,-1202.4760,-159.2566,52776.029,0.6350,1,5675
93.360,0.000000,-0.000600,-3729.3700,-1202.3520,-159.2553,52785.726,0.6350,1,5675
93.561,0.000000,-0.000600,-3729.3700,-1202.2240,-159.2553,52795.467,0.6350,1,5675
93.762,0.000000,-0.000600,-3729.3700,-1202.0920,-159.2553,52805.166,0.6350,1,5675
93.962,0.000000,0.004400,-3729.3700,-1201.9720,-159.2540,52814.430,0.6350,1,5675
94.162,0.000000,0.004400,-3729.3700,-1201.8400,-159.2540,52824.173,0.6350,1,5675
94.364,-0.005000,0.004400,-3729.3650,-1201.7120,-159.2540,52833.919,0.6350,1,5675
94.566,0.000000,-0.000600,-3729.3700,-1201.5880,-159.2528,52843.423,0.6350,1,5675
94.766,-0.005000,-0.000600,-3729.3650,-1201.4640,-159.2528,52853.165,0.6350,1,5675
94.967,0.000000,-0.000600,-3729.3700,-1201.3360,-159.2528,52862.861,0.6350,1,5675
95.168,0.000000,-0.000600,-3729.3700,-1201.2040,-159.2528,52872.653,0.6350,1,5675
95.368,0.000000,-0.000600,-3729.3700,-1201.0800,-159.2528,52881.966,0.6350,1,5675
95.569,0.000000,0.004400,-3729.3700,-1200.9520,-159.2528,52891.613,0.6350,1,5675
95.770,-0.005000,0.004400,-3729.3650,-1200.8160,-159.2528,52901.502,0.6350,1,5675
95.970,-0.005000,0.004400,-3729.3650,-1200.6880,-159.2515,52911.246,0.6350,1,5675
96.171,-0.005000,0.004400,-3729.3650,-1200.5720,-159.2515,52920.462,0.6350,1,5675
96.372,0.000000,0.004400,-3729.3700,-1200.4480,-159.2528,52930.205,0.6350,1,5675
96.573,0.000000,-0.000600,-3729.3700,-1200.3160,-159.2528,52939.999,0.6350,1,5675
96.773,0.000000,-0.000600,-3729.3700,-1200.1880,-159.2528,52949.406,0.6350,1,5675
96.974,0.000000,-0.000600,-3729.3700,-1200.0560,-159.2528,52959.101,0.6350,1,5675
97.174,-0.005000,-0.005600,-3729.3650,-1199.9200,-159.2502,52968.846,0.6350,1,5675
97.375,-0.005000,-0.005600,-3729.3650,-1199.7920,-159.2477,52978.589,0.6350,1,5675
97.576,-0.005000,-0.000600,-3729.3650,-1199.6720,-159.2489,52987.901,0.6350,1,5675
97.776,-0.005000,0.004400,-3729.3650,-1199.5440,-159.2502,52997.694,0.6350,1,5675
97.977,-0.005000,0.004400,-3729.3650,-1199.4160,-159.2515,53007.438,0.6350,1,5675
98.177,-0.005000,0.004400,-3729.3650,-1199.2880,-159.2515,53017.132,0.6350,1,5675
98.378,-0.005000,-0.000600,-3729.3650,-1199.1680,-159.2502,53025.918,0.6350,1,5675
98.580,-0.005000,-0.000600,-3729.3650,-1199.0360,-159.2502,53036.142,0.6350,1,5675
98.780,-0.005000,-0.000600,-3729.3650,-1198.9120,-159.2502,53045.934,0.6350,1,5675
98.981,-0.005000,-0.000600,-3729.3650,-1198.7840,-159.2502,53055.725,0.6350,1,5675
99.181,-0.005000,0.004400,-3729.3650,-1198.6600,-159.2489,53064.990,0.6350,1,5675
99.382,-0.005000,0.004400,-3729.3650,-1198.5320,-159.2502,53074.685,0.6350,1,5675
99.582,-0.005000,0.004400,-3729.3650,-1198.4040,-159.2502,53084.429,0.6350,1,5675
99.783,-0.005000,-0.000600,-3729.3650,-1198.2720,-159.2489,53094.221,0.6350,1,5675
99.984,-0.005000,-0.000600,-3729.3650,-1198.1480,-159.2489,53103.486,0.6350,1,5675
100.184,-0.005000,-0.000600,-3729.3650,-1198.0200,-159.2477,53113.325,0.6350,1,5675
100.385,-0.005000,-0.000600,-3729.3650,-1197.9000,-159.2489,53122.685,0.6350,1,5675
100.586,-0.005000,0.004400,-3729.3650,-1197.7680,-159.2489,53132.622,0.6350,1,5675
100.786,-0.005000,0.004400,-3729.3650,-1197.6400,-159.2489,53142.317,0.6350,1,5675
100.987,-0.005000,0.004400,-3729.3650,-1197.5120,-159.2489,53151.821,0.6350,1,5675
101.187,-0.005000,0.004400,-3729.3650,-1197.3880,-159.2489,53161.566,0.6350,1,5675
101.388,-0.005000,-0.000600,-3729.3650,-1197.2600,-159.2489,53170.878,0.6350,1,5675
101.590,0.000000,-0.000600,-3729.3700,-1197.1320,-159.2502,53180.909,0.6350,1,5675
101.790,0.000000,-0.000600,-3729.3700,-1197.0080,-159.2515,53190.173,0.6350,1,5675
101.991,0.000000,-0.000600,-3729.3700,-1196.8760,-159.2528,53200.013,0.6350,1,5675
102.191,0.000000,-0.000600,-3729.3700,-1196.7520,-159.2528,53209.421,0.6350,1,5675
102.393,0.000000,-0.000600,-3729.3700,-1196.6200,-159.2515,53219.213,0.6350,1,5675
102.595,0.000000,-0.000600,-3729.3700,-1196.4800,-159.2515,53229.101,0.6350,1,5675
102.796,0.000000,0.004400,-3729.3700,-1196.3600,-159.2528,53238.461,0.6350,1,5675
102.997,0.005000,0.004400,-3729.3750,-1196.2400,-159.2528,53247.677,0.6350,1,5675
103.198,0.000000,0.004400,-3729.3700,-1196.1040,-159.2540,53257.949,0.6350,1,5675
103.399,0.000000,0.004400,-3729.3700,-1195.9720,-159.2540,53267.695,0.6350,1,5675
103.599,0.000000,-0.000600,-3729.3700,-1195.8480,-159.2540,53277.152,0.6350,1,5675
103.800,0.005000,-0.000600,-3729.3750,-1195.7240,-159.2540,53287.038,0.6350,1,5675
104.001,0.000000,-0.000600,-3729.3700,-1195.6000,-159.2540,53296.302,0.6350,1,5675
104.201,0.005000,-0.000600,-3729.3750,-1195.4720,-159.2540,53306.142,0.6350,1,5675
104.402,0.005000,-0.000600,-3729.3750,-1195.3480,-159.2528,53315.500,0.6350,1,5675
104.603,0.000000,-0.000600,-3729.3700,-1195.2080,-159.2515,53325.437,0.6350,1,5675
104.803,-0.010000,-0.005600,-3729.3600,-1195.0760,-159.2477,53335.181,0.6350,1,5675
105.004,-0.005000,-0.005600,-3729.3650,-1194.9520,-159.2489,53344.877,0.6350,1,5675
105.204,0.000000,-0.000600,-3729.3700,-1194.8360,-159.2489,53354.142,0.6350,1,5675
105.405,0.000000,0.004400,-3729.3700,-1194.7080,-159.2502,53363.934,0.6350,1,5675
105.605,0.000000,0.004400,-3729.3700,-1194.5840,-159.2515,53373.293,0.6350,1,5675
105.806,0.000000,0.009400,-3729.3700,-1194.4560,-159.2515,53382.990,0.6350,1,5675
106.006,-0.005000,0.004400,-3729.3650,-1194.3200,-159.2515,53392.925,0.6350,1,5675
106.206,-0.005000,0.004400,-3729.3650,-1194.1960,-159.2515,53402.237,0.6350,1,5675
106.407,-0.005000,0.004400,-3729.3650,-1194.0640,-159.2502,53412.079,0.6350,1,5675
106.607,-0.005000,0.004400,-3729.3650,-1193.9360,-159.2502,53421.773,0.6350,1,5675
106.808,-0.005000,0.004400,-3729.3650,-1193.8200,-159.2502,53430.990,0.6350,1,5675
107.008,-0.005000,0.004400,-3729.3650,-1193.6920,-159.2515,53440.733,0.6350,1,5675
107.210,-0.005000,-0.000600,-3729.3650,-1193.5600,-159.2515,53450.525,0.6350,1,5675
107.411,-0.005000,-0.005600,-3729.3650,-1193.4320,-159.2502,53460.318,0.6350,1,5675
107.611,0.000000,-0.000600,-3729.3700,-1193.3120,-159.2515,53469.581,0.6350,1,5675
107.811,0.000000,-0.000600,-3729.3700,-1193.1760,-159.2502,53479.421,0.6350,1,5675
108.012,0.000000,-0.000600,-3729.3700,-1193.0440,-159.2502,53489.214,0.6350,1,5675
108.212,0.000000,-0.000600,-3729.3700,-1192.9240,-159.2502,53498.429,0.6350,1,5675
108.413,0.000000,0.004400,-3729.3700,-1192.7920,-159.2502,53508.220,0.6350,1,5675
108.613,-0.005000,-0.000600,-3729.3650,-1192.6560,-159.2477,53518.062,0.6350,1,5675
108.814,-0.010000,-0.000600,-3729.3600,-1192.5320,-159.2477,53527.518,0.6350,1,5675
109.014,-0.005000,-0.000600,-3729.3650,-1192.4040,-159.2477,53537.309,0.6350,1,5675
109.215,-0.005000,-0.000600,-3729.3650,-1192.2800,-159.2477,53546.574,0.6350,1,5675
109.415,0.000000,0.004400,-3729.3700,-1192.1520,-159.2489,53556.365,0.6350,1,5675
109.616,0.000000,0.004400,-3729.3700,-1192.0200,-159.2489,53566.255,0.6350,1,5675
109.816,0.000000,-0.000600,-3729.3700,-1191.9000,-159.2477,53575.422,0.6350,1,5675
110.016,0.000000,-0.000600,-3729.3700,-1191.7720,-159.2477,53585.214,0.6350,1,5675
110.217,0.000000,-0.000600,-3729.3700,-1191.6440,-159.2477,53594.766,0.6350,1,5675
110.419,0.005000,-0.000600,-3729.3750,-1191.5160,-159.2489,53604.508,0.6350,1,5675
110.620,0.005000,-0.000600,-3729.3750,-1191.3880,-159.2489,53614.206,0.6350,1,5675
110.820,0.005000,-0.000600,-3729.3750,-1191.2600,-159.2489,53623.949,0.6350,1,5675
