t,fe0,fe3,x,y,z,b,vel,spindle_on,spindle_rpm
12.669,0.000000,0.004400,-3729.3700,-1253.5880,-159.2528,48912.412,0.6350,1,5675
12.870,0.005000,-0.000600,-3729.3750,-1253.4600,-159.2515,48922.301,0.6350,1,5675
13.071,0.005000,-0.000600,-3729.3750,-1253.3280,-159.2515,48932.046,0.6350,1,5675
13.272,0.005000,-0.000600,-3729.3750,-1253.2000,-159.2515,48941.598,0.6350,1,5675
13.472,0.005000,-0.000600,-3729.3750,-1253.0760,-159.2528,48951.008,0.6350,1,5675
13.673,0.005000,0.004400,-3729.3750,-1252.9520,-159.2553,48960.798,0.6350,1,5675
13.874,0.005000,0.004400,-3729.3750,-1252.8200,-159.2553,48970.590,0.6350,1,5675
14.075,0.000000,-0.000600,-3729.3700,-1252.6960,-159.2553,48979.902,0.6350,1,5675
14.278,0.000000,-0.000600,-3729.3700,-1252.5640,-159.2553,48989.838,0.6350,1,5675
14.481,0.000000,-0.000600,-3729.3700,-1252.4400,-159.2566,48999.341,0.6350,1,5675
14.683,-0.010000,-0.005600,-3729.3600,-1252.3080,-159.2540,49009.134,0.6350,1,5675
14.884,-0.005000,-0.005600,-3729.3650,-1252.1760,-159.2489,49018.830,0.6350,1,5675
15.084,-0.005000,-0.000600,-3729.3650,-1252.0600,-159.2489,49028.285,0.6350,1,5675
15.285,0.000000,0.004400,-3729.3700,-1251.9360,-159.2515,49038.029,0.6350,1,5675
15.485,0.005000,0.004400,-3729.3750,-1251.8040,-159.2515,49047.966,0.6350,1,5675
15.686,0.005000,0.004400,-3729.3750,-1251.6760,-159.2528,49057.181,0.6350,1,5675
15.886,0.005000,0.004400,-3729.3750,-1251.5480,-159.2540,49066.877,0.6350,1,5675
16.087,0.005000,0.004400,-3729.3750,-1251.4160,-159.2553,49076.670,0.6350,1,5675
16.287,0.005000,0.004400,-3729.3750,-1251.2920,-159.2553,49086.078,0.6350,1,5675
16.488,0.005000,-0.000600,-3729.3750,-1251.1600,-159.2540,49095.869,0.6350,1,5675
16.689,0.005000,-0.000600,-3729.3750,-1251.0320,-159.2540,49105.566,0.6350,1,5675
16.889,0.005000,-0.000600,-3729.3750,-1250.9080,-159.2528,49115.214,0.6350,1,5675
