# t_epoch pid.x.err pid.y.err pid.z.err pid.w.err joint2.ferr joint2.posfb joint4.posfb j2.blash-filt j3.blash-filt
1786041548.305 -0.01474662 -0.01186816 -0.009927312 -0.01214662 -0.009927312 -427.4958 8.737405 -0.0126 0.0126 
1786041548.469 -0.009711288 -0.01559637 -0.008740469 -0.007111288 -0.008740469 -428.6084 9.967441 -0.0126 0.0126 
1786041548.629 -0.009676947 -0.01119135 -0.008494545 -0.007076733 -0.008494545 -429.8403 11.17502 -0.0126 0.0126 
1786041548.795 -0.009641681 -0.009549781 -0.008800305 -0.007041681 -0.008800305 -431.2373 12.40493 -0.0126 0.0126 
1786041548.975 -0.009604885 -0.005552464 -0.008207008 -0.007004461 -0.008207008 -432.887 13.71776 -0.0126 0.0126 
1786041549.148 -0.009567659 -0.01093797 -0.009984779 -0.006967449 -0.009984779 -434.6967 15.03001 -0.0126 0.0126 
1786041549.327 -0.009530663 -0.01246402 -0.009373061 -0.01193066 -0.009373061 -436.6703 16.34239 -0.0126 0.0126 
1786041549.511 -0.00949142 -0.007379347 -0.0101659 -0.01189142 -0.0101659 -438.9677 17.75234 -0.0126 0.0126 
1786041549.685 -0.009455992 -0.01359807 -0.009728781 -0.006855992 -0.009728781 -441.2182 19.03498 -0.0126 0.0126 
1786041549.858 -0.009429951 0.09298554 0.02622734 -0.006829951 0.02622734 -443.0203 19.984 -0.0126 0.0126 
1786041550.028 0.01557005 0.02898554 0.01227373 0.01817005 0.0114804 -443.5359 19.984 -0.0126 0.0126 
1786041550.196 0.02057005 0.02498554 0.01202676 0.02317005 0.01202676 -444.0998 19.984 -0.0126 0.0126 
1786041550.369 0.02057005 0.02498554 0.01019312 0.01817005 0.01019312 -444.6713 19.984 -0.0126 0.0126 
1786041550.554 0.02057005 0.02098554 0.01074612 0.01817005 0.01074612 -445.2885 19.984 -0.0126 0.0126 
1786041550.747 0.01557005 0.01698554 0.01066578 0.01317005 0.01066578 -445.9184 19.984 -0.0126 0.0126 
1786041550.948 0.01557005 0.01698554 0.01499244 0.01317005 0.01499244 -445.9475 19.984 0.0126 0.0126 
1786041551.132 0.01057005 0.01698554 0.008422447 0.01317005 0.008422447 -445.9146 19.984 -0.0126 0.0126 
1786041551.317 0.01057005 0.01298554 0.008132431 0.01317005 0.007965765 -445.9438 19.984 -0.0126 0.0126 
1786041551.540 0.01557005 0.01698554 0.008295745 0.01317005 0.008295745 -445.9807 19.984 -0.0126 0.0126 
1786041551.720 0.01057005 0.01298554 0.009045728 0.008170049 0.009045728 -446.0124 19.984 -0.0126 0.0126 
1786041551.905 0.01057005 0.01698554 0.009575711 0.01317005 0.009575711 -446.0429 19.984 -0.0126 0.0126 
1786041552.091 0.01557005 0.01698554 0.02936598 0.01317005 0.02936598 -445.5753 19.984 0.0126 0.0126 
1786041552.284 0.01056409 0.1422473 0.03191434 0.007964094 0.03191434 -442.9312 19.76632 0.0126 -0.0126 
1786041552.485 -0.01447781 0.001626353 -0.01146302 -0.01207781 -0.01146302 -439.8108 18.24377 0.0126 -0.0126 
1786041552.659 -0.01451549 -0.01079986 -0.009533693 -0.0121157 -0.01012348 -437.5223 16.87906 0.0126 -0.0126 
1786041552.844 -0.01455365 -0.01110559 -0.008799907 -0.01215365 -0.009352695 -435.395 15.50653 0.0126 -0.0126 
1786041553.021 -0.01459227 -0.01416016 -0.00948437 -0.01219248 -0.00948437 -433.4532 14.14137 0.0126 -0.0126 
1786041553.186 -0.01462772 -0.01192525 -0.008046393 -0.01222772 -0.008046393 -431.8365 12.89661 0.0126 -0.0126 
1786041553.346 -0.009662066 -0.00830944 -0.008707545 -0.01226207 -0.008707545 -430.4065 11.68148 0.0126 -0.0126 
1786041553.507 -0.01469656 -0.008029026 -0.009488876 -0.01229656 -0.009488876 -429.1149 10.48159 0.0126 -0.0126 
1786041553.671 -0.00973184 -0.006541961 -0.0086074 -0.00733184 -0.0086074 -427.9439 9.2516 0.0126 -0.0126 
1786041553.837 -0.009767241 -0.00945315 -0.007842242 -0.01236724 -0.007842242 -426.9178 8.02151 0.0126 -0.0126 
1786041554.004 -0.009803399 -0.007653934 -0.008137201 -0.007403399 -0.008137201 -426.0212 6.769145 0.0126 -0.0126 
1786041554.183 -0.009839217 -0.006924622 -0.007605134 -0.007439217 -0.007605134 -425.2846 5.53154 0.0126 -0.0126 
1786041554.352 -0.009877941 -0.007261424 -0.008173533 -0.007477941 -0.008173533 -424.6546 4.19647 0.0126 -0.0126 
1786041554.525 -0.009916295 -0.006238052 -0.007591656 -0.01251629 -0.007591656 -424.2025 2.876582 0.0126 -0.0126 
1786041554.692 -0.01495338 -0.01083362 -0.007505794 -0.01255338 -0.007505794 -423.9257 1.601489 0.0126 -0.0126 
1786041554.861 -0.009990277 -0.004719689 -0.00786256 -0.007590277 -0.00786256 -423.8063 0.3340989 0.0126 -0.0126 
1786041555.024 -1.00045e-13 -0.0317 -0.001178981 0.0024 -0.001178981 -423.8076 -1.660063e-08 0.0126 -0.0126 
1786041555.185 0.015 0.0043 0.008981014 0.0174 0.008981014 -423.8177 -1.660063e-08 0.0126 -0.0126 
1786041555.348 0.015 0.0123 0.01152101 0.0174 0.01152101 -423.8203 -1.660063e-08 0.0126 -0.0126 
1786041555.514 -2.117837e-05 0.04506998 0.002550966 -0.002621178 0.002550966 -423.837 -0.7274842 -0.0126 -0.0126 
1786041555.675 -0.01005654 0.002474168 -0.007512896 -0.01265654 -0.007512896 -423.9843 -1.942559 -0.0126 -0.0126 
1786041555.836 -0.01009166 -0.002613855 -0.008587588 -0.007691656 -0.008587588 -424.2815 -3.149937 -0.0126 -0.0126 
1786041555.996 -0.005126733 -0.007476462 -0.008692831 -0.007726733 -0.008692831 -424.7209 -4.357452 -0.0126 -0.0126 
