t,fe0,fe3,ex,ew,ux,uw,x,y,z,b,vel,spindle_on,spindle_rpm
4.164,0.000000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883855,-3729.3700,-1029.0080,-159.2553,65888.293,0.6350,1,5675
4.270,0.005000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883855,-3729.3750,-1028.9400,-159.2566,65893.710,0.6350,1,5675
4.370,0.000000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883940,-3729.3700,-1028.8720,-159.2566,65898.702,0.6350,1,5675
4.473,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.883940,-3729.3750,-1028.8160,-159.2578,65903.262,0.6350,1,5675
4.574,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.883940,-3729.3750,-1028.7480,-159.2578,65908.206,0.6350,1,5675
4.675,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.883940,-3729.3750,-1028.6840,-159.2578,65913.247,0.6350,1,5675
4.776,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.883940,-3729.3750,-1028.6160,-159.2578,65918.143,0.6350,1,5675
4.877,0.000000,-0.000600,+0.0000000,-0.0006000,+1.063308,+0.883940,-3729.3700,-1028.5480,-159.2553,65923.038,0.6350,1,5675
4.979,0.000000,-0.000600,+0.0000000,-0.0006000,+1.063308,+0.883940,-3729.3700,-1028.4920,-159.2528,65927.499,0.6350,1,5675
5.083,0.000000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883940,-3729.3700,-1028.4240,-159.2528,65932.877,0.6350,1,5675
5.184,0.000000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883940,-3729.3700,-1028.3640,-159.2528,65937.343,0.6350,1,5675
5.286,0.000000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883940,-3729.3700,-1028.2960,-159.2528,65942.429,0.6350,1,5675
5.388,0.000000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.883940,-3729.3700,-1028.2280,-159.2528,65947.471,0.6350,1,5675
5.499,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.883940,-3729.3750,-1028.1600,-159.2528,65952.891,0.6350,1,5675
5.601,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.884110,-3729.3750,-1028.1000,-159.2528,65957.453,0.6350,1,5675
5.702,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.884110,-3729.3750,-1028.0360,-159.2515,65962.351,0.6350,1,5675
5.802,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.884110,-3729.3750,-1027.9680,-159.2502,65967.197,0.6350,1,5675
5.903,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.884110,-3729.3750,-1027.9000,-159.2489,65972.240,0.6350,1,5675
6.004,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.884110,-3729.3750,-1027.8440,-159.2489,65976.705,0.6350,1,5675
6.105,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.884110,-3729.3750,-1027.7800,-159.2489,65981.549,0.6350,1,5675
6.206,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.884110,-3729.3750,-1027.7120,-159.2489,65986.492,0.6350,1,5675
6.307,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.884166,-3729.3750,-1027.6480,-159.2489,65991.390,0.6350,1,5675
6.408,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.884166,-3729.3750,-1027.5880,-159.2502,65995.810,0.6350,1,5675
6.509,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.884251,-3729.3750,-1027.5160,-159.2515,66001.182,0.6350,1,5675
6.610,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.884251,-3729.3750,-1027.4560,-159.2515,66006.077,0.6350,1,5675
6.710,0.005000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.884251,-3729.3750,-1027.3920,-159.2528,66010.976,0.6350,1,5675
6.811,0.005000,0.004400,+0.0050000,+0.0044000,+1.063469,+0.884251,-3729.3750,-1027.3280,-159.2528,66015.582,0.6350,1,5675
6.912,0.005000,0.004400,+0.0050000,+0.0044000,+1.063469,+0.884251,-3729.3750,-1027.2640,-159.2528,66020.478,0.6350,1,5675
7.013,0.005000,0.004400,+0.0050000,+0.0044000,+1.063469,+0.884251,-3729.3750,-1027.2000,-159.2528,66025.326,0.6350,1,5675
7.114,0.005000,0.004400,+0.0050000,+0.0044000,+1.063469,+0.884251,-3729.3750,-1027.1320,-159.2528,66030.319,0.6350,1,5675
7.215,0.005000,0.004400,+0.0050000,+0.0044000,+1.063597,+0.884251,-3729.3750,-1027.0760,-159.2540,66034.781,0.6350,1,5675
7.316,0.005000,0.004400,+0.0050000,+0.0044000,+1.063694,+0.884251,-3729.3750,-1027.0080,-159.2540,66039.773,0.6350,1,5675
7.417,0.005000,0.004400,+0.0050000,+0.0044000,+1.063854,+0.884251,-3729.3750,-1026.9440,-159.2540,66044.718,0.6350,1,5675
7.518,0.005000,0.004400,+0.0050000,+0.0044000,+1.064240,+0.884251,-3729.3750,-1026.8760,-159.2553,66049.661,0.6350,1,5675
7.619,0.005000,0.004400,+0.0050000,+0.0044000,+1.064304,+0.884251,-3729.3750,-1026.8120,-159.2553,66054.510,0.6350,1,5675
7.720,0.005000,0.004400,+0.0050000,+0.0044000,+1.064369,+0.884251,-3729.3750,-1026.7480,-159.2553,66059.501,0.6350,1,5675
7.821,0.005000,0.004400,+0.0050000,+0.0044000,+1.064497,+0.884251,-3729.3750,-1026.6880,-159.2566,66063.918,0.6350,1,5675
7.922,0.005000,0.004400,+0.0050000,+0.0044000,+1.064561,+0.884251,-3729.3750,-1026.6240,-159.2566,66068.765,0.6350,1,5675
8.023,0.005000,0.004400,+0.0050000,+0.0044000,+1.064722,+0.884251,-3729.3750,-1026.5600,-159.2578,66073.664,0.6350,1,5675
8.124,0.005000,0.004400,+0.0050000,+0.0044000,+1.064722,+0.884251,-3729.3750,-1026.4960,-159.2578,66078.558,0.6350,1,5675
8.225,0.005000,0.004400,+0.0050000,+0.0044000,+1.064722,+0.884251,-3729.3750,-1026.4320,-159.2578,66083.458,0.6350,1,5675
8.326,0.005000,0.004400,+0.0050000,+0.0044000,+1.064722,+0.884251,-3729.3750,-1026.3640,-159.2578,66088.446,0.6350,1,5675
8.427,0.005000,0.004400,+0.0050000,+0.0044000,+1.064722,+0.884251,-3729.3750,-1026.3000,-159.2578,66093.340,0.6350,1,5675
8.528,0.005000,0.004400,+0.0050000,+0.0044000,+1.064722,+0.884251,-3729.3750,-1026.2360,-159.2566,66098.094,0.6350,1,5675
8.629,0.010000,0.004400,+0.0050000,+0.0044000,+1.064754,+0.884251,-3729.3800,-1026.1720,-159.2553,66102.990,0.6350,1,5675
