t,fe0,fe3,ex,ew,ux,uw,x,y,z,b,vel,spindle_on,spindle_rpm
276.623,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-856.0040,-159.2528,78966.798,0.6350,1,5675
276.724,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-855.9400,-159.2528,78971.693,0.6350,1,5675
276.825,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-855.8800,-159.2528,78976.156,0.6350,1,5675
276.925,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-855.8120,-159.2515,78981.150,0.6350,1,5675
277.026,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-855.7480,-159.2515,78985.998,0.6350,1,5675
277.127,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-855.6840,-159.2515,78990.845,0.6350,1,5675
277.228,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-855.6200,-159.2515,78995.744,0.6350,1,5675
277.329,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-855.5520,-159.2502,79000.591,0.6350,1,5675
277.430,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-855.4960,-159.2502,79005.006,0.6350,1,5675
277.532,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-855.4280,-159.2502,79010.429,0.6350,1,5675
277.633,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-855.3640,-159.2502,79015.277,0.6350,1,5675
277.733,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-855.2960,-159.2502,79020.174,0.6350,1,5675
277.834,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-855.2400,-159.2502,79024.591,0.6350,1,5675
277.935,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-855.1760,-159.2502,79029.438,0.6350,1,5675
278.036,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-855.1080,-159.2489,79034.428,0.6350,1,5675
278.137,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-855.0440,-159.2489,79039.421,0.6350,1,5675
278.238,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-854.9760,-159.2477,79044.317,0.6350,1,5675
278.340,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132726,+0.936664,-3729.3650,-854.9120,-159.2489,79049.166,0.6350,1,5675
278.441,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132662,+0.936664,-3729.3650,-854.8480,-159.2502,79054.061,0.6350,1,5675
278.542,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132598,+0.936664,-3729.3650,-854.7840,-159.2502,79058.957,0.6350,1,5675
278.643,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132598,+0.936664,-3729.3650,-854.7320,-159.2502,79062.846,0.6350,1,5675
278.744,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132598,+0.936633,-3729.3650,-854.6600,-159.2502,79068.223,0.6350,1,5675
278.847,-0.005000,-0.000600,+0.0000000,-0.0006000,+1.132598,+0.936591,-3729.3650,-854.5920,-159.2515,79073.164,0.6350,1,5675
278.948,0.000000,0.004400,+0.0000000,-0.0006000,+1.132598,+0.936591,-3729.3700,-854.5280,-159.2528,79078.109,0.6350,1,5675
279.052,0.000000,0.004400,+0.0000000,+0.0044000,+1.132598,+0.936591,-3729.3700,-854.4640,-159.2540,79083.053,0.6350,1,5675
279.153,0.000000,0.004400,+0.0000000,+0.0044000,+1.132598,+0.936591,-3729.3700,-854.4000,-159.2540,79087.949,0.6350,1,5675
279.254,0.005000,0.004400,+0.0000000,+0.0044000,+1.132598,+0.936591,-3729.3750,-854.3320,-159.2540,79092.797,0.6350,1,5675
279.355,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936591,-3729.3750,-854.2680,-159.2540,79097.645,0.6350,1,5675
279.456,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936591,-3729.3750,-854.2000,-159.2540,79102.494,0.6350,1,5675
279.557,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936591,-3729.3750,-854.1360,-159.2553,79107.390,0.6350,1,5675
279.658,0.000000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936591,-3729.3700,-854.0680,-159.2540,79112.285,0.6350,1,5675
279.759,0.000000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936591,-3729.3700,-854.0000,-159.2540,79117.227,0.6350,1,5675
279.859,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936591,-3729.3750,-853.9360,-159.2553,79122.077,0.6350,1,5675
279.961,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936591,-3729.3750,-853.8720,-159.2553,79126.974,0.6350,1,5675
280.061,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936676,-3729.3750,-853.8080,-159.2566,79131.821,0.6350,1,5675
280.163,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936676,-3729.3750,-853.7440,-159.2566,79136.765,0.6350,1,5675
280.265,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936676,-3729.3750,-853.6800,-159.2566,79141.712,0.6350,1,5675
280.367,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132598,+0.936676,-3729.3750,-853.6200,-159.2566,79146.222,0.6350,1,5675
280.468,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132598,+0.936676,-3729.3750,-853.5560,-159.2553,79151.117,0.6350,1,5675
280.569,0.005000,-0.000600,+0.0000000,-0.0056000,+1.132598,+0.927134,-3729.3750,-853.4880,-159.2553,79156.062,0.6350,1,5675
280.670,0.005000,-0.000600,+0.0000000,-0.0006000,+1.132598,+0.936568,-3729.3750,-853.4240,-159.2553,79160.958,0.6350,1,5675
280.771,0.005000,-0.000600,+0.0000000,-0.0006000,+1.132598,+0.936568,-3729.3750,-853.3600,-159.2553,79165.854,0.6350,1,5675
280.871,0.005000,-0.000600,+0.0000000,-0.0006000,+1.132598,+0.936568,-3729.3750,-853.3000,-159.2553,79170.365,0.6350,1,5675
280.972,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132598,+0.936568,-3729.3750,-853.2360,-159.2566,79175.212,0.6350,1,5675
281.073,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936568,-3729.3750,-853.1720,-159.2566,79180.157,0.6350,1,5675
281.173,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936568,-3729.3750,-853.1080,-159.2566,79185.149,0.6350,1,5675
281.274,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936568,-3729.3750,-853.0440,-159.2566,79190.046,0.6350,1,5675
281.375,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936568,-3729.3750,-852.9800,-159.2566,79194.894,0.6350,1,5675
281.477,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936568,-3729.3750,-852.9160,-159.2578,79199.741,0.6350,1,5675
281.577,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936568,-3729.3750,-852.8480,-159.2578,79204.638,0.6350,1,5675
281.678,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936568,-3729.3750,-852.7880,-159.2578,79209.101,0.6350,1,5675
281.783,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936568,-3729.3750,-852.7200,-159.2566,79214.429,0.6350,1,5675
281.883,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936568,-3729.3750,-852.6520,-159.2578,79219.278,0.6350,1,5675
281.984,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936568,-3729.3750,-852.5880,-159.2578,79224.175,0.6350,1,5675
282.085,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936568,-3729.3750,-852.5240,-159.2578,79229.022,0.6350,1,5675
282.186,0.005000,0.004400,+0.0000000,+0.0044000,+1.132598,+0.936568,-3729.3750,-852.4680,-159.2578,79233.437,0.6350,1,5675
282.287,0.005000,0.004400,+0.0000000,+0.0044000,+1.132598,+0.936568,-3729.3750,-852.4000,-159.2578,79238.429,0.6350,1,5675
282.389,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936568,-3729.3750,-852.3360,-159.2578,79243.326,0.6350,1,5675
282.490,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936568,-3729.3750,-852.2680,-159.2566,79248.221,0.6350,1,5675
282.591,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936568,-3729.3750,-852.2080,-159.2566,79253.069,0.6350,1,5675
282.692,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936568,-3729.3750,-852.1440,-159.2566,79257.917,0.6350,1,5675
282.793,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936653,-3729.3750,-852.0840,-159.2553,79262.814,0.6350,1,5675
282.894,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936653,-3729.3750,-852.0200,-159.2553,79267.663,0.6350,1,5675
282.994,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936653,-3729.3750,-851.9560,-159.2540,79272.510,0.6350,1,5675
283.095,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132598,+0.936653,-3729.3750,-851.8920,-159.2528,79277.358,0.6350,1,5675
283.196,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132598,+0.936653,-3729.3750,-851.8240,-159.2515,79282.207,0.6350,1,5675
283.300,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132598,+0.936653,-3729.3750,-851.7600,-159.2515,79287.151,0.6350,1,5675
283.400,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132598,+0.936653,-3729.3750,-851.6960,-159.2502,79292.046,0.6350,1,5675
283.504,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132598,+0.936653,-3729.3750,-851.6320,-159.2502,79296.894,0.6350,1,5675
283.605,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132662,+0.936653,-3729.3750,-851.5720,-159.2502,79301.790,0.6350,1,5675
283.705,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132662,+0.936653,-3729.3750,-851.5080,-159.2489,79306.637,0.6350,1,5675
283.806,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132662,+0.936653,-3729.3750,-851.4440,-159.2489,79311.581,0.6350,1,5675
283.906,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132662,+0.936653,-3729.3750,-851.3800,-159.2489,79316.430,0.6350,1,5675
284.008,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132662,+0.936653,-3729.3750,-851.3160,-159.2489,79321.280,0.6350,1,5675
284.109,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132662,+0.936653,-3729.3750,-851.2520,-159.2489,79326.125,0.6350,1,5675
284.209,0.000000,-0.000600,+0.0050000,-0.0006000,+1.132662,+0.936653,-3729.3700,-851.1920,-159.2489,79330.494,0.6350,1,5675
284.311,0.000000,-0.000600,+0.0000000,-0.0006000,+1.132662,+0.936653,-3729.3700,-851.1240,-159.2489,79335.582,0.6350,1,5675
284.412,0.000000,-0.000600,+0.0000000,-0.0006000,+1.132662,+0.936653,-3729.3700,-851.0600,-159.2502,79340.526,0.6350,1,5675
284.514,0.000000,-0.000600,+0.0000000,-0.0006000,+1.132662,+0.936653,-3729.3700,-850.9920,-159.2502,79345.374,0.6350,1,5675
284.614,0.000000,-0.000600,+0.0000000,-0.0006000,+1.132662,+0.936653,-3729.3700,-850.9280,-159.2515,79350.221,0.6350,1,5675
284.715,0.000000,-0.000600,+0.0000000,-0.0006000,+1.132662,+0.936653,-3729.3700,-850.8680,-159.2528,79355.072,0.6350,1,5675
284.816,0.000000,-0.000600,+0.0000000,-0.0006000,+1.132662,+0.936653,-3729.3700,-850.8040,-159.2540,79359.966,0.6350,1,5675
284.917,0.000000,-0.000600,+0.0000000,-0.0006000,+1.132662,+0.936653,-3729.3700,-850.7400,-159.2553,79364.813,0.6350,1,5675
285.018,0.000000,-0.000600,+0.0000000,-0.0006000,+1.132662,+0.936653,-3729.3700,-850.6680,-159.2566,79369.806,0.6350,1,5675
285.121,0.000000,-0.000600,-0.0050000,-0.0006000,+1.132662,+0.936653,-3729.3700,-850.6040,-159.2566,79374.654,0.6350,1,5675
285.221,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132662,+0.936653,-3729.3650,-850.5360,-159.2578,79379.548,0.6350,1,5675
285.324,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132662,+0.936603,-3729.3650,-850.4800,-159.2578,79383.965,0.6350,1,5675
285.425,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132662,+0.936514,-3729.3650,-850.4120,-159.2578,79389.053,0.6350,1,5675
285.526,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132598,+0.936514,-3729.3650,-850.3440,-159.2566,79393.949,0.6350,1,5675
285.627,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132533,+0.936514,-3729.3650,-850.2800,-159.2566,79398.797,0.6350,1,5675
285.728,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132533,+0.936514,-3729.3650,-850.2160,-159.2578,79403.645,0.6350,1,5675
285.829,0.000000,-0.000600,+0.0000000,-0.0006000,+1.132533,+0.936514,-3729.3700,-850.1520,-159.2578,79408.542,0.6350,1,5675
285.930,0.000000,0.004400,+0.0000000,+0.0044000,+1.132533,+0.936514,-3729.3700,-850.0880,-159.2578,79413.389,0.6350,1,5675
286.031,0.000000,0.004400,+0.0000000,+0.0044000,+1.132533,+0.936514,-3729.3700,-850.0240,-159.2578,79418.286,0.6350,1,5675
286.132,0.000000,0.004400,+0.0000000,+0.0044000,+1.132533,+0.936514,-3729.3700,-849.9560,-159.2578,79423.181,0.6350,1,5675
286.233,0.000000,0.004400,+0.0000000,+0.0044000,+1.132533,+0.936514,-3729.3700,-849.8960,-159.2553,79427.742,0.6350,1,5675
286.334,0.005000,0.004400,+0.0000000,+0.0044000,+1.132533,+0.936514,-3729.3750,-849.8280,-159.2553,79432.686,0.6350,1,5675
286.435,0.005000,0.004400,+0.0050000,+0.0044000,+1.132533,+0.936599,-3729.3750,-849.7640,-159.2553,79437.533,0.6350,1,5675
286.536,0.005000,0.004400,+0.0050000,+0.0044000,+1.132533,+0.936712,-3729.3750,-849.7000,-159.2553,79442.381,0.6350,1,5675
286.636,0.005000,0.004400,+0.0050000,+0.0044000,+1.132533,+0.936712,-3729.3750,-849.6400,-159.2540,79447.230,0.6350,1,5675
286.737,0.005000,0.004400,+0.0050000,+0.0044000,+1.132533,+0.936712,-3729.3750,-849.5720,-159.2528,79452.125,0.6350,1,5675
286.837,0.005000,0.004400,+0.0050000,-0.0006000,+1.132533,+0.936712,-3729.3750,-849.5080,-159.2528,79456.973,0.6350,1,5675
286.938,0.005000,0.004400,+0.0050000,-0.0006000,+1.132533,+0.936712,-3729.3750,-849.4440,-159.2528,79461.822,0.6350,1,5675
287.039,0.005000,0.004400,+0.0050000,+0.0044000,+1.132533,+0.936712,-3729.3750,-849.3800,-159.2528,79466.669,0.6350,1,5675
287.139,0.005000,0.004400,+0.0050000,-0.0006000,+1.132758,+0.936712,-3729.3750,-849.3200,-159.2515,79471.468,0.6350,1,5675
287.240,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132758,+0.936712,-3729.3750,-849.2560,-159.2515,79476.366,0.6350,1,5675
287.342,0.005000,-0.000600,+0.0050000,+0.0044000,+1.132758,+0.936712,-3729.3750,-849.1920,-159.2515,79481.262,0.6350,1,5675
287.442,0.005000,0.004400,+0.0050000,+0.0044000,+1.132758,+0.936712,-3729.3750,-849.1280,-159.2515,79486.205,0.6350,1,5675
287.544,0.005000,0.004400,+0.0050000,+0.0044000,+1.132758,+0.936712,-3729.3750,-849.0680,-159.2515,79491.053,0.6350,1,5675
287.644,0.005000,0.004400,+0.0050000,+0.0044000,+1.132758,+0.936712,-3729.3750,-849.0040,-159.2515,79495.902,0.6350,1,5675
287.746,0.000000,0.004400,+0.0000000,+0.0044000,+1.132758,+0.936712,-3729.3700,-848.9440,-159.2515,79500.366,0.6350,1,5675
287.846,0.000000,0.004400,+0.0000000,+0.0044000,+1.132758,+0.936712,-3729.3700,-848.8800,-159.2515,79505.261,0.6350,1,5675
287.947,0.000000,0.004400,+0.0000000,+0.0044000,+1.132758,+0.936712,-3729.3700,-848.8160,-159.2502,79510.109,0.6350,1,5675
288.049,0.000000,0.004400,+0.0000000,-0.0006000,+1.132758,+0.936712,-3729.3700,-848.7520,-159.2515,79515.053,0.6350,1,5675
288.150,0.000000,-0.000600,+0.0000000,-0.0006000,+1.132758,+0.936712,-3729.3700,-848.6880,-159.2502,79519.950,0.6350,1,5675
288.252,0.000000,-0.000600,+0.0000000,-0.0006000,+1.132758,+0.936712,-3729.3700,-848.6200,-159.2502,79524.845,0.6350,1,5675
288.355,0.000000,-0.000600,-0.0050000,-0.0006000,+1.132758,+0.936712,-3729.3700,-848.5560,-159.2502,79529.693,0.6350,1,5675
288.456,0.000000,0.004400,-0.0050000,-0.0006000,+1.132758,+0.936712,-3729.3700,-848.4920,-159.2502,79534.638,0.6350,1,5675
288.556,0.000000,-0.000600,-0.0050000,-0.0006000,+1.132758,+0.936712,-3729.3700,-848.4280,-159.2502,79539.535,0.6350,1,5675
288.658,0.000000,0.004400,+0.0000000,+0.0044000,+1.132758,+0.936712,-3729.3700,-848.3680,-159.2502,79543.950,0.6350,1,5675
288.758,0.000000,0.004400,+0.0000000,+0.0044000,+1.132758,+0.936712,-3729.3700,-848.2960,-159.2502,79549.326,0.6350,1,5675
288.859,0.000000,0.004400,+0.0000000,+0.0044000,+1.132758,+0.936712,-3729.3700,-848.2360,-159.2502,79553.789,0.6350,1,5675
288.960,0.000000,0.004400,+0.0000000,+0.0044000,+1.132758,+0.936712,-3729.3700,-848.1720,-159.2502,79558.636,0.6350,1,5675
289.061,-0.005000,-0.000600,+0.0000000,+0.0044000,+1.132758,+0.936712,-3729.3650,-848.1040,-159.2502,79563.581,0.6350,1,5675
289.162,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132758,+0.936712,-3729.3650,-848.0400,-159.2489,79568.481,0.6350,1,5675
289.263,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132758,+0.936712,-3729.3650,-847.9760,-159.2489,79573.325,0.6350,1,5675
289.364,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132758,+0.936712,-3729.3650,-847.9120,-159.2489,79578.173,0.6350,1,5675
289.465,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132758,+0.936712,-3729.3650,-847.8480,-159.2489,79583.070,0.6350,1,5675
289.565,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132758,+0.936712,-3729.3650,-847.7840,-159.2489,79587.917,0.6350,1,5675
289.666,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132758,+0.936712,-3729.3650,-847.7200,-159.2489,79592.814,0.6350,1,5675
289.769,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132758,+0.936712,-3729.3650,-847.6560,-159.2489,79597.757,0.6350,1,5675
289.871,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132758,+0.936712,-3729.3650,-847.5920,-159.2502,79602.653,0.6350,1,5675
289.971,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132758,+0.936712,-3729.3650,-847.5240,-159.2502,79607.502,0.6350,1,5675
290.073,-0.005000,-0.005600,-0.0050000,-0.0056000,+1.132758,+0.927147,-3729.3650,-847.4600,-159.2502,79612.398,0.6350,1,5675
290.174,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132758,+0.936673,-3729.3650,-847.3960,-159.2515,79617.292,0.6350,1,5675
290.275,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132758,+0.936623,-3729.3650,-847.3320,-159.2515,79622.141,0.6350,1,5675
290.376,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132758,+0.936604,-3729.3650,-847.2760,-159.2528,79626.509,0.6350,1,5675
290.478,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132598,+0.936604,-3729.3650,-847.2080,-159.2528,79631.454,0.6350,1,5675
290.578,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132598,+0.936604,-3729.3650,-847.1440,-159.2528,79636.302,0.6350,1,5675
290.681,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132598,+0.936604,-3729.3650,-847.0800,-159.2540,79641.294,0.6350,1,5675
290.782,0.000000,0.004400,-0.0050000,+0.0044000,+1.132598,+0.936604,-3729.3700,-847.0120,-159.2540,79646.190,0.6350,1,5675
290.883,0.000000,0.004400,+0.0000000,+0.0044000,+1.132598,+0.936604,-3729.3700,-846.9480,-159.2553,79651.086,0.6350,1,5675
290.984,0.000000,0.004400,+0.0000000,+0.0044000,+1.132598,+0.936604,-3729.3700,-846.8840,-159.2553,79655.934,0.6350,1,5675
291.085,0.005000,0.004400,+0.0000000,+0.0044000,+1.132598,+0.936604,-3729.3750,-846.8240,-159.2566,79660.781,0.6350,1,5675
291.185,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936604,-3729.3750,-846.7560,-159.2578,79665.726,0.6350,1,5675
291.286,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936604,-3729.3750,-846.6880,-159.2578,79670.573,0.6350,1,5675
291.387,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936604,-3729.3750,-846.6200,-159.2578,79675.470,0.6350,1,5675
291.487,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936604,-3729.3750,-846.5520,-159.2578,79680.317,0.6350,1,5675
291.588,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936604,-3729.3750,-846.4960,-159.2591,79684.686,0.6350,1,5675
291.689,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936604,-3729.3750,-846.4240,-159.2566,79690.062,0.6350,1,5675
291.791,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936604,-3729.3750,-846.3640,-159.2566,79694.430,0.6350,1,5675
291.892,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936604,-3729.3750,-846.3000,-159.2553,79699.373,0.6350,1,5675
291.992,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936604,-3729.3750,-846.2360,-159.2553,79704.222,0.6350,1,5675
292.094,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936604,-3729.3750,-846.1720,-159.2540,79709.117,0.6350,1,5675
292.196,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936604,-3729.3750,-846.1040,-159.2528,79714.253,0.6350,1,5675
292.298,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936604,-3729.3750,-846.0440,-159.2528,79719.005,0.6350,1,5675
292.399,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936689,-3729.3750,-845.9800,-159.2528,79723.854,0.6350,1,5675
292.501,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936689,-3729.3750,-845.9200,-159.2528,79728.702,0.6350,1,5675
292.602,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936689,-3729.3750,-845.8560,-159.2515,79733.550,0.6350,1,5675
292.702,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936689,-3729.3750,-845.7920,-159.2502,79738.446,0.6350,1,5675
292.803,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132598,+0.936689,-3729.3750,-845.7240,-159.2502,79743.485,0.6350,1,5675
292.904,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132598,+0.936689,-3729.3750,-845.6640,-159.2489,79748.334,0.6350,1,5675
293.005,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132598,+0.936689,-3729.3750,-845.6000,-159.2489,79753.181,0.6350,1,5675
293.105,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132598,+0.936689,-3729.3750,-845.5400,-159.2489,79757.598,0.6350,1,5675
293.208,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132598,+0.936654,-3729.3750,-845.4760,-159.2489,79762.494,0.6350,1,5675
293.309,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132758,+0.936577,-3729.3750,-845.4120,-159.2489,79767.437,0.6350,1,5675
293.410,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132758,+0.936561,-3729.3750,-845.3480,-159.2489,79772.333,0.6350,1,5675
293.511,0.005000,-0.000600,+0.0050000,-0.0006000,+1.132758,+0.936561,-3729.3750,-845.2840,-159.2489,79777.183,0.6350,1,5675
293.611,0.005000,-0.000600,+0.0050000,+0.0044000,+1.132758,+0.936561,-3729.3750,-845.2160,-159.2502,79782.029,0.6350,1,5675
293.712,0.000000,0.004400,+0.0050000,+0.0044000,+1.132758,+0.936561,-3729.3700,-845.1520,-159.2502,79786.877,0.6350,1,5675
293.813,0.000000,0.004400,+0.0000000,+0.0044000,+1.132758,+0.936561,-3729.3700,-845.0840,-159.2515,79791.725,0.6350,1,5675
293.913,0.000000,0.004400,+0.0000000,+0.0044000,+1.132758,+0.936561,-3729.3700,-845.0200,-159.2528,79796.623,0.6350,1,5675
294.014,0.000000,0.004400,+0.0000000,+0.0044000,+1.132758,+0.936561,-3729.3700,-844.9560,-159.2540,79801.470,0.6350,1,5675
294.115,0.000000,0.004400,-0.0050000,+0.0044000,+1.132758,+0.936618,-3729.3700,-844.8880,-159.2540,79806.317,0.6350,1,5675
294.216,-0.005000,0.004400,-0.0050000,+0.0044000,+1.132758,+0.936618,-3729.3650,-844.8240,-159.2553,79811.167,0.6350,1,5675
294.318,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132758,+0.936618,-3729.3650,-844.7560,-159.2553,79816.064,0.6350,1,5675
294.420,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132598,+0.936618,-3729.3650,-844.6960,-159.2553,79820.910,0.6350,1,5675
294.520,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132598,+0.936618,-3729.3650,-844.6320,-159.2553,79825.757,0.6350,1,5675
294.622,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.132598,+0.936579,-3729.3650,-844.5680,-159.2553,79830.750,0.6350,1,5675
294.724,0.000000,-0.000600,-0.0050000,-0.0006000,+1.132598,+0.936579,-3729.3700,-844.5080,-159.2553,79835.216,0.6350,1,5675
294.825,0.000000,-0.000600,+0.0000000,-0.0006000,+1.132598,+0.936579,-3729.3700,-844.4400,-159.2553,79840.109,0.6350,1,5675
294.925,0.000000,0.004400,+0.0000000,+0.0044000,+1.132598,+0.936579,-3729.3700,-844.3760,-159.2566,79844.957,0.6350,1,5675
295.026,0.000000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936579,-3729.3700,-844.3160,-159.2566,79849.854,0.6350,1,5675
295.129,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936579,-3729.3750,-844.2520,-159.2566,79854.701,0.6350,1,5675
295.230,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936579,-3729.3750,-844.1840,-159.2578,79859.549,0.6350,1,5675
295.331,0.005000,0.004400,+0.0050000,+0.0044000,+1.132598,+0.936579,-3729.3750,-844.1200,-159.2566,79864.494,0.6350,1,5675
