# t ex ey ez ew A C jx jy jz
1786081629.902 0.007286903 0.004553329 0.00705844 0.007286903 60.28977 -148.1904 -876.685 -136.704 -166.0473 
1786081630.072 0.01010542 0.006035516 0.007382221 0.005105421 60.31509 -148.3179 -876.315 -136.412 -166.1413 
1786081630.246 0.009735585 0.009852395 0.008101607 0.01120292 60.33618 -148.4241 -876.005 -136.172 -166.22 
1786081630.412 0.0202236 0.01721947 0.012879 0.0202236 60.35 -148.4936 -875.81 -136.02 -166.2759 
1786081630.578 0.0165386 0.01578396 0.01299626 0.0165386 60.3582 -148.5349 -875.685 -135.924 -166.3064 
1786081630.742 0.01790357 0.01599399 0.01280749 0.01790357 60.361 -148.549 -875.645 -135.892 -166.3166 
1786081630.907 0.01792574 0.02001125 0.01407195 0.02292574 60.361 -148.549 -875.645 -135.896 -166.3178 
1786081631.064 0.01792574 0.02001125 0.01280195 0.01792574 60.361 -148.549 -875.645 -135.896 -166.3166 
1786081631.224 0.01792574 0.01601125 0.01153195 0.01792574 60.361 -148.549 -875.645 -135.892 -166.3153 
1786081631.381 0.01792574 0.01601125 0.01153195 0.01792574 60.361 -148.549 -875.645 -135.892 -166.3153 
1786081631.545 0.01292574 0.01201125 0.01026195 0.01292574 60.361 -148.549 -875.64 -135.888 -166.314 
1786081631.703 0.01292574 0.01201125 0.01026195 0.01792574 60.361 -148.549 -875.64 -135.888 -166.314 
1786081631.861 0.01292574 0.01201125 0.01026195 0.01292574 60.361 -148.549 -875.64 -135.888 -166.314 
1786081632.021 0.01292574 0.01201125 0.01026195 0.01792574 60.361 -148.549 -875.64 -135.888 -166.314 
1786081632.184 0.01792574 0.01601125 0.01153195 0.01792574 60.361 -148.549 -875.645 -135.892 -166.3153 
1786081632.345 0.01292574 0.01201125 0.01026195 0.01292574 60.361 -148.549 -875.64 -135.888 -166.314 
1786081632.508 0.01792574 0.01601125 0.01153195 0.01792574 60.361 -148.549 -875.645 -135.892 -166.3153 
1786081632.666 0.01792574 0.01601125 0.01153195 0.01792574 60.361 -148.549 -875.645 -135.892 -166.3153 
1786081632.830 0.01292574 0.01201125 0.01026195 0.01292574 60.361 -148.549 -875.64 -135.892 -166.314 
1786081632.998 0.01292574 0.01201125 0.01026195 0.01292574 60.361 -148.549 -875.64 -135.888 -166.314 
1786081633.160 0.01122135 0.01246936 0.0101993 0.01602135 60.35999 -148.5481 -875.64 -135.892 -166.3102 
1786081633.326 0.01048667 0.006137543 0.008808475 0.01028667 60.33874 -148.5294 -875.675 -135.96 -166.2302 
1786081633.490 0.006118002 0.004550372 0.008517131 0.010918 60.29143 -148.4877 -875.75 -136.124 -166.0549 
1786081633.651 0.01233588 0.008935006 0.01059252 0.01213588 60.21736 -148.4224 -875.88 -136.388 -165.7832 
1786081633.817 0.001332114 -0.001892354 0.006379097 0.006132114 60.1174 -148.3343 -876.035 -136.728 -165.4098 
1786081633.999 0.001979939 -0.005214859 0.007916197 0.006779939 59.97205 -148.2063 -876.275 -137.236 -164.8751 
1786081634.173 -0.0124599 -0.01678924 0.002567824 -0.0076599 59.80661 -148.0605 -876.53 -137.808 -164.2604 
1786081634.341 -0.01154084 -0.01334184 -0.001218698 -0.00869261 59.61313 -147.89 -876.84 -138.496 -163.5454 
