sec,B,line
12.771,68.8245,78
12.822,69.1033,78
12.873,69.3830,78
12.924,69.6678,78
12.974,69.9416,78
13.024,70.2211,78
13.074,70.5059,78
13.125,70.7416,78
13.175,71.0210,78
13.226,71.2997,78
13.276,71.5840,78
13.326,71.8680,78
13.377,72.1522,78
13.429,72.4362,78
13.479,72.7204,78
13.529,72.9445,78
13.579,73.2237,78
13.630,73.5034,78
13.680,73.7827,78
13.731,74.0622,78
13.781,74.3416,78
13.831,74.6267,78
13.881,74.9059,78
13.933,75.1848,78
13.987,75.4691,78
14.037,75.7424,78
14.088,76.0265,78
14.139,76.3108,78
14.189,76.6057,78
14.239,76.8298,78
14.291,77.1641,78
14.341,77.3881,78
14.391,77.6732,78
14.442,77.9470,78
14.492,78.2265,78
14.542,78.5006,78
14.592,78.7800,78
14.643,79.0594,78
14.693,79.3326,78
14.743,79.6166,78
14.793,79.8353,78
14.845,80.1686,78
14.895,80.4582,78
14.945,80.7368,78
14.996,81.0157,78
15.046,81.2458,78
15.097,81.5253,78
15.147,81.8046,78
15.198,82.1113,78
15.248,82.3526,78
15.298,82.5937,78
15.350,82.9335,78
15.400,83.2122,78
15.451,83.4965,78
15.503,83.7916,78
15.555,84.0702,78
15.605,84.3489,78
15.655,84.6274,78
15.705,84.9008,78
15.756,85.1254,78
15.806,85.4047,78
15.856,85.6841,78
15.906,85.9581,78
15.957,86.2376,78
16.007,86.5225,78
16.057,86.8019,78
16.107,87.0867,78
16.157,87.3598,78
16.209,87.6331,78
16.259,87.9118,78
16.310,88.1903,78
16.360,88.4637,78
16.410,88.7478,78
16.461,89.0212,78
16.511,89.3006,78
16.561,89.5800,78
16.611,89.8593,78
16.661,90.1334,78
16.711,90.4127,78
16.762,90.6375,78
16.812,90.9115,78
16.862,91.1904,78
16.912,91.4636,78
16.962,91.7478,78
17.013,92.0214,78
17.063,92.2997,78
17.113,92.5784,78
17.163,92.8573,78
17.214,93.1309,78
17.264,93.4156,78
17.314,93.6951,78
17.364,93.9800,78
17.415,94.2539,78
17.465,94.5335,78
17.515,94.7581,78
17.565,95.0320,78
17.615,95.3108,78
17.666,95.5896,78
17.716,95.8680,78
17.766,96.1467,78
17.816,96.4255,78
17.867,96.7100,78
17.918,96.9883,78
17.968,97.2622,78
18.018,97.5417,78
18.070,97.8157,78
18.120,98.0951,78
18.170,98.3691,78
18.220,98.6485,78
18.271,98.9225,78
18.321,99.2014,78
18.371,99.4800,78
18.421,99.7642,78
18.471,99.9937,78
18.521,100.2834,78
18.571,100.5619,78
18.622,100.8407,78
18.672,101.1197,78
18.723,101.3992,78
18.773,101.6786,78
18.823,101.9526,78
18.873,102.1827,78
18.923,102.4622,78
18.973,102.7416,78
19.024,103.0156,78
19.074,103.2943,78
19.124,103.5676,78
19.174,103.8464,78
19.224,104.1249,78
19.275,104.3981,78
19.325,104.6768,78
19.375,104.9500,78
19.425,105.2295,78
19.475,105.5088,78
19.525,105.7938,78
19.579,106.0730,78
19.629,106.3471,78
19.680,106.6268,78
19.730,106.9008,78
19.780,107.1796,78
19.830,107.3982,78
19.880,107.7314,78
19.930,108.0103,78
19.981,108.2887,78
20.031,108.5620,78
20.081,108.8406,78
20.131,109.1145,78
20.181,109.3937,78
20.232,109.6733,78
20.282,109.9472,78
20.332,110.1717,78
20.382,110.4512,78
20.432,110.7306,78
20.482,111.0101,78
20.533,111.2834,78
20.583,111.5619,78
20.633,111.8408,78
20.683,112.1194,78
20.733,112.3980,78
20.783,112.6768,78
20.833,112.9554,78
20.884,113.2294,78
20.934,113.5087,78
20.984,113.7827,78
21.034,114.0133,78
21.084,114.2923,78
21.134,114.5718,78
21.185,114.8512,78
21.235,115.1303,78
21.285,115.4089,78
21.335,115.6822,78
21.385,115.9773,78
21.435,116.2504,78
21.486,116.5292,78
21.536,116.8026,78
21.586,117.0869,78
21.636,117.3060,78
21.687,117.6128,78
